user_id,recs
1,"[9677939, 883616, 9527329, 9296986, 8090541, 1031190, 8293439, 10356149, 978974, 1060819, 8091601, 15741823, 869465, 1048918, 6534544, 5577022, 951954, 856942, 9297615, 971585, 15830875, 945809, 1041796, 865456, 933913, 961554, 1101422, 1042083, 1132231, 943316, 877373, 1115576, 1074612, 1005186, 990656, 1122428, 1132814, 834484, 940947, 1131115, 931860, 1002032, 1082185, 1049998, 907957, 979707, 1062002, 962568, 1132771, 15971874]"
3,"[958154, 994891, 879948, 851057, 13842214, 1083328, 1096727, 835476, 913202, 878302, 7167218, 7167249, 9526563, 9526886, 1053690, 920626, 909638, 872021, 6463658, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186]"
6,"[948650, 6553035, 1024306, 12604482, 1055911, 845208, 10311503, 14106553, 997284, 6979393, 909479, 1020683, 1075214, 9859082, 949142, 873654, 7410170, 840361, 1120741, 13382461, 820165, 956672, 1006718, 1119051, 825541, 870315, 5569230, 1037863, 1100691, 847270, 843819, 1110392, 897811, 1108624, 14111230, 15863831, 1104227, 7431990, 13776852, 17105539, 887325, 1123407, 822812, 5580166, 16733215, 1099058, 946489, 12263667, 874149, 1329768]"
7,"[888835, 939900, 12647859, 875118, 14111027, 15596285, 994994, 1038184, 14111539, 945909, 1004122, 10121622, 965705, 12696020, 966058, 909714, 14111294, 9420337, 10285022, 13417587, 822049, 1122358, 5590695, 5592610, 1018769, 15629769, 5568378, 857503, 15716073, 1110779, 823176, 1074172, 10285186, 1055504, 866211, 993838, 12487505, 10285119, 6979808, 855557, 12731506, 1089990, 889774, 1106523, 1126899, 13842160, 10456186, 898068, 15596516, 889536]"
8,"[854405, 953561, 7147176, 939275, 9396767, 13115915, 825749, 914868, 913808, 1110843, 12172239, 823356, 835098, 1119761, 950977, 1077410, 901062, 819255, 894406, 872137, 946484, 1041259, 5564982, 13115895, 13115897, 862139, 5588238, 5588666, 5585735, 5585639, 8011285, 8011282, 5584847, 7466806, 5588942, 5582789, 5590287, 5578494, 826239, 9297371, 904023, 835576, 822241, 824555, 953476, 884897, 5978656, 1062966, 8205218, 1082185]"
9,"[10457112, 995242, 1029743, 919427, 990865, 9297474, 889692, 864335, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036]"
13,"[1024306, 1082185, 1094371, 1132280, 904813, 1131348, 1100973, 1071939, 1032549, 920308, 915041, 826249, 1103741, 884897, 16769806, 951590, 13133815, 953345, 923746, 1069635, 1068708, 1054688, 981521, 1051781, 923005, 1057315, 6551782, 1117539, 995242, 1132771, 1028953, 1078385, 862070, 6533184, 9368201, 12301825, 12428444, 13776705, 1118987, 985178, 878996, 14025593, 16223404, 819614, 6534178, 889107, 838602, 12128605, 838186, 1041796]"
14,"[1025611, 14025398, 952408, 933067, 1062966, 1130858, 1029743, 13841744, 16770156, 965693, 1008673, 1121384, 981760, 1122358, 967395, 1123106, 13876901, 6979594, 959985, 951590, 1074271, 840601, 867293, 1040371, 953476, 925205, 6979089, 912681, 902377, 954922, 16766358, 1039994, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776]"
15,"[828935, 1082269, 1055646, 1076881, 962274, 901062, 968215, 1098248, 1092303, 1082185, 17105257, 1042697, 1106523, 959076, 13073175, 1082310, 1132911, 907392, 910439, 1023958, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165]"
16,"[1062973, 13007710, 1082185, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476]"
